42 ns: U U UUUU UUUU UUUU
27804 ns: 0 0 0000 0000 0000
27846 ns: 0 0 0000 0000 0000
27888 ns: 0 0 0000 0000 0000
27930 ns: 0 0 0000 0000 0000
27972 ns: 0 0 0000 0000 0000
28014 ns: 0 0 0000 0000 0000
28056 ns: 0 0 0000 0000 0000
28098 ns: 0 0 0000 0000 0000
28140 ns: 0 0 0000 0000 0000
28182 ns: 0 0 0000 0000 0000
28224 ns: 0 0 0000 0000 0000
28266 ns: 0 0 0000 0000 0000
28308 ns: 0 0 0000 0000 0000
28350 ns: 0 0 0000 0000 0000
28392 ns: 0 0 0000 0000 0000
28434 ns: 0 0 0000 0000 0000
28476 ns: 0 0 0000 0000 0000
28518 ns: 0 0 0000 0000 0000
28560 ns: 0 0 0000 0000 0000
28602 ns: 0 0 0000 0000 0000
28644 ns: 0 0 0000 0000 0000
28686 ns: 0 0 0000 0000 0000
28728 ns: 0 0 0000 0000 0000
28770 ns: 0 0 0000 0000 0000
28812 ns: 0 0 0000 0000 0000
28854 ns: 0 0 0000 0000 0000
28896 ns: 0 0 0000 0000 0000
28938 ns: 0 0 0000 0000 0000
28980 ns: 0 0 0000 0000 0000
29022 ns: 0 0 0000 0000 0000
29064 ns: 0 0 0000 0000 0000
29106 ns: 0 0 0000 0000 0000
29148 ns: 0 0 0000 0000 0000
29190 ns: 0 0 0000 0000 0000
29232 ns: 0 0 0000 0000 0000
